[2026-04-24T13:37:36Z] Starting Phase 2 batch archive: 1937 unique URLs
[2026-04-24T13:37:37Z] [1/1937] fresh     https://www.cornerstonechapel.cc
[2026-04-24T13:37:38Z] [2/1937] fresh     https://en.wikipedia.org/wiki/Oneness_Pentecostalism
[2026-04-24T13:37:42Z] [3/1937] fresh     https://fumcva.org
[2026-04-24T13:37:45Z] [4/1937] fresh     https://ccfred.org
[2026-04-24T13:37:45Z] [5/1937] fresh     https://www.trinity-fredericksburg.org
[2026-04-24T13:37:59Z]   CDX check failed: timed out
[2026-04-24T13:37:59Z] [6/1937] no-snapshot  https://www.selahchurchfxbg.com
[2026-04-24T13:38:09Z] [7/1937] fresh     https://www.modernday.org/profile/lukeandamanda/
[2026-04-24T13:38:10Z] [8/1937] fresh     https://www.revivechurchva.com
[2026-04-24T13:38:22Z]   CDX check failed: timed out
[2026-04-24T13:38:22Z] [9/1937] no-snapshot  https://www.revivechurchva.com/about
[2026-04-24T13:38:26Z] [10/1937] fresh     https://fawnlakechurch.net/
[2026-04-24T13:38:26Z]   checkpoint: {"fresh": 8, "older": 0, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 2}
[2026-04-24T13:38:39Z] [11/1937] fresh     https://churchjobfinder.com/church-jobs/pastor-spotsylvania-courthouse-va-2
[2026-04-24T13:38:44Z] [12/1937] fresh     https://themount.org/fredericksburg
[2026-04-24T13:38:44Z] [13/1937] older     https://www.fxbgbaptist.org
[2026-04-24T13:38:57Z]   CDX check failed: timed out
[2026-04-24T13:38:57Z] [14/1937] no-snapshot  https://www.fredericksburgcoc.com/
[2026-04-24T13:38:58Z] [15/1937] older     https://christianchronicle.org/classified/full-time-pulpit-preacher-fredericksburg-church-of-christ-2/
[2026-04-24T13:38:59Z] [16/1937] older     https://shiloholdsite.org
[2026-04-24T13:39:06Z] [17/1937] fresh     https://www.bridgefbg.com
[2026-04-24T13:39:07Z] [18/1937] fresh     https://www.salemfxbg.com
[2026-04-24T13:39:14Z] [19/1937] fresh     https://www.salemfxbg.com/about
[2026-04-24T13:39:19Z] [20/1937] fresh     https://spotswood.org/
[2026-04-24T13:39:19Z]   checkpoint: {"fresh": 14, "older": 3, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 3}
[2026-04-24T13:39:25Z] [21/1937] fresh     https://www.sbcv.org/churches/spotswood-baptist-church-fredericksburg/
[2026-04-24T13:39:42Z] [22/1937] fresh     https://www.tbc.me
[2026-04-24T13:39:54Z] [23/1937] fresh     https://www.tbc.me/church-staff-and-elders
[2026-04-24T13:39:56Z] [24/1937] fresh     https://www.graceefca.org
[2026-04-24T13:40:14Z]   CDX check failed: timed out
[2026-04-24T13:40:14Z] [25/1937] no-snapshot  https://www.zion-presbyterian.com
[2026-04-24T13:40:31Z]   CDX check failed: timed out
[2026-04-24T13:40:31Z] [26/1937] no-snapshot  https://www.fredericksburgpc.org
[2026-04-24T13:40:37Z] [27/1937] fresh     https://www.strongtowerlive.com
[2026-04-24T13:40:46Z] [28/1937] fresh     https://www.strongtowerlive.com/who-we-are
[2026-04-24T13:41:04Z]   CDX check failed: timed out
[2026-04-24T13:41:04Z] [29/1937] no-snapshot  https://www.keepthefaith.co.uk/2022/09/01/strong-tower-church-releases-creative-visual-for-praise-and-worship-single-arise-ft-richard-t-davis/
[2026-04-24T13:41:08Z] [30/1937] older     https://tabchurch.org
[2026-04-24T13:41:08Z]   checkpoint: {"fresh": 20, "older": 4, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 6}
[2026-04-24T13:41:18Z] [31/1937] older     https://tabchurch.org/about
[2026-04-24T13:41:36Z]   CDX check failed: timed out
[2026-04-24T13:41:36Z] [32/1937] no-snapshot  https://www.sonobaptist.org/what-we-believe
